zip_path,dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,train_size,val_size,has_codes,has_distance_file,distance_relerr_mean,distance_relerr_std,val_mse_best,train_mse_last,best_min_mse,status
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_2_K_8.zip,bigann,2,8,0,6.0,8,8,16.0,384.0,384.0,,,False,False,,,,,,config_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_32_K_1024.zip,bigann,32,1024,0,320.0,32,64,16.0,384.0,384.0,,,True,False,,,3440.81,1180.06,1061.69,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_32_K_16.zip,bigann,32,16,0,128.0,16,16,16.0,384.0,384.0,,,True,False,,,19286.8,18197.1,4976.5,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_32_K_256.zip,bigann,32,256,0,256.0,32,64,16.0,384.0,384.0,,,True,False,,,5521.21,3658.65,1520.89,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_32_K_4096.zip,bigann,32,4096,0,384.0,32,64,16.0,384.0,384.0,,,True,False,,,2551.25,173.33,636.849,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_32_K_64.zip,bigann,32,64,0,192.0,32,64,16.0,384.0,384.0,,,True,False,,,10084.5,8627.46,2517.12,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_4_K_1024.zip,bigann,4,1024,0,40.0,32,64,16.0,384.0,384.0,,,True,False,,,37541.0,30919.3,22985.9,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_4_K_16.zip,bigann,4,16,0,16.0,16,16,16.0,384.0,384.0,,,True,False,,,68610.9,67008.3,53941.8,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_4_K_256.zip,bigann,4,256,0,32.0,32,64,16.0,384.0,384.0,,,True,False,,,43144.0,39117.2,28948.5,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_4_K_4096.zip,bigann,4,4096,0,48.0,32,64,16.0,384.0,384.0,,,True,False,,,34781.7,23550.6,19936.7,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_4_K_64.zip,bigann,4,64,0,24.0,32,64,16.0,384.0,384.0,,,True,False,,,53224.9,50259.6,38761.2,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/bigann_M_4_K_8.zip,bigann,4,8,0,12.0,8,8,16.0,384.0,384.0,,,False,False,,,,,,config_only
